mechanism,n,persona,framing,n_obs,mean_ratio,mean_abs_dev
first_price,2,business,reason_hint,30,0.5,0.0
first_price,2,business,rules_only,30,0.5,0.0
first_price,2,game_theorist,reason_hint,30,0.5,0.0
first_price,2,game_theorist,rules_only,30,0.5,0.0
first_price,2,naive,reason_hint,30,0.5,0.0
first_price,2,naive,rules_only,30,0.5,0.0
first_price,3,business,reason_hint,30,0.667,0.001
first_price,3,business,rules_only,30,0.667,0.001
first_price,3,game_theorist,reason_hint,30,0.667,0.002
first_price,3,game_theorist,rules_only,30,0.667,0.002
first_price,3,naive,reason_hint,30,0.667,0.002
first_price,3,naive,rules_only,30,0.667,0.002
first_price,5,business,reason_hint,30,0.8,0.0
first_price,5,business,rules_only,30,0.8,0.0
first_price,5,game_theorist,reason_hint,30,0.8,0.0
first_price,5,game_theorist,rules_only,30,0.8,0.0
first_price,5,naive,reason_hint,30,0.8,0.0
first_price,5,naive,rules_only,30,0.8,0.0
second_price,2,business,reason_hint,30,1.0,0.0
second_price,2,business,rules_only,30,1.0,0.0
second_price,2,game_theorist,reason_hint,30,1.0,0.0
second_price,2,game_theorist,rules_only,30,1.0,0.0
second_price,2,naive,reason_hint,30,1.0,0.0
second_price,2,naive,rules_only,30,1.0,0.0
second_price,3,business,reason_hint,30,1.0,0.0
second_price,3,business,rules_only,30,1.0,0.0
second_price,3,game_theorist,reason_hint,30,1.0,0.0
second_price,3,game_theorist,rules_only,30,1.0,0.0
second_price,3,naive,reason_hint,30,1.0,0.0
second_price,3,naive,rules_only,30,1.0,0.0
second_price,5,business,reason_hint,30,1.0,0.0
second_price,5,business,rules_only,30,1.0,0.0
second_price,5,game_theorist,reason_hint,30,1.0,0.0
second_price,5,game_theorist,rules_only,30,1.0,0.0
second_price,5,naive,reason_hint,30,1.0,0.0
second_price,5,naive,rules_only,30,1.0,0.0
